Magnificacao;Municao;Label;Circ;Round;df;AR;Mun;Nova classificacao;Classificacao numerica;Classificacao morfometrica
800;7.62;GSR7.624.1MD3689-1-attrFilt;0,066;0,548;129,591;1,825;3;Arredondada e muito baixa circularidade;8;Irregular
800;5.56;GSR5.561-10ME2536-1-attrFilt;0,124;0,458;182,879;2,184;2;Sub arredondada e muito baixa circularidade;12;Irregular
800;5.56;GSR5.561-10ME2536-2-attrFilt;0,146;0,593;99,756;1,687;2;Arredondada e muito baixa circularidade;8;Irregular
800;5.56;GSR5.56mm2-10ME1632-1-attrFilt;0,071;0,448;183,903;2,232;2;Sub arredondada e muito baixa circularidade;12;Irregular
800;7.62;GSR7.621-1-MD54-1-attrFilt;0,136;0,524;169,285;1,910;3;Arredondada e muito baixa circularidade;8;Irregular
800;7.62;GSR7.623-10-MD460-1-attrFilt;0,217;0,723;119,526;1,384;3;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
800;5.56;Arma3MS5.5602008-1-attrFilt;0,286;0,286;134,647;3,495;2;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
1000;0.40;GSR0.405-10ME128-1-attrFilt;0,465;0,68;91,787;1,470;1;Arredondada e baixa circularidade;7;Regular nao esferica
1000;0.40;GSR0.405-10ME419-1-attrFilt;0,196;0,825;66,598;1,213;1;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;0.40;GSR0.405-10ME718-1-attrFilt;0,192;0,779;158,502;1,284;1;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.561-10ME356-1-attrFilt;0,177;0,464;169,219;2,156;2;Sub arredondada e muito baixa circularidade;12;Irregular
1000;5.56;GSR5.563-10-ME235-1-attrFilt;0,415;0,97;90,901;1,030;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;5.56;GSR5.562-10TORAX18-1-attrFilt;0,404;0,917;50,808;1,091;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;5.56;GSR5.563-10-ME741-1-attrFilt;0,504;0,843;90,202;1,186;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
1000;5.56;GSR5.564-1MD93-1-attrFilt;0,409;0,839;93,857;1,192;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;5.56;GSR5.56mm1-10MD1747-1-attrFilt;0,289;0,627;102,2;1,595;2;Arredondada e muito baixa circularidade;8;Irregular
1000;5.56;GSR5.56mm1-10MD79-1-attrFilt;0,265;0,678;88,499;1,476;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
1000;5.56;GSR5.56mm1-10MD753-1-attrFilt;0,544;0,725;61,185;1,380;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
1000;5.56;GSR5.56mm1-10MD757-1-attrFilt;0,186;0,787;101,001;1,270;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.56mm1-10MD838-1-attrFilt;0,35;0,872;130,497;1,147;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;5.56;GSR5.56mm1-10MD1793-1-attrFilt;0,233;0,806;68,012;1,241;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.56mm1-10MD2014-1-attrFilt;0,163;0,794;115,983;1,260;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.56mm2-10MD940-1-attrFilt;0,26;0,658;124,337;1,521;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
1000;5.56;GSR5.56mm2-10ME395-1-attrFilt;0,323;0,466;82,15;2,147;2;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
1000;5.56;GSR5.56mm2-10ME834-1-attrFilt;0,218;0,511;70,138;1,955;2;Arredondada e muito baixa circularidade;8;Irregular
1000;5.56;GSR5.56mm3-10MD58-1-attrFilt;0,194;0,758;100,783;1,319;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.56mm3-10MD324-1-attrFilt;0,259;0,528;64,783;1,893;2;Arredondada e muito baixa circularidade;8;Irregular
1000;5.56;GSR5.56mm3-10MD397-1-attrFilt;0,173;0,677;141,646;1,477;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
1000;5.56;GSR5.56mm3-10MD424-1-attrFilt;0,407;0,863;80,342;1,159;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;7.62;GSR7.624-10ME599-1-attrFilt;0,459;0,638;104,978;1,569;3;Arredondada e baixa circularidade;7;Regular nao esferica
1000;7.62;GSR7.623-10-MD235-1-attrFilt;0,415;0,97;90,901;1,030;3;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;7.62;GSR7.623-10-MD741-1-attrFilt;0,504;0,843;90,202;1,186;3;Muito arredondada e baixa circularidade;3;Regular nao esferica
1000;7.62;GSR7.624-1ME445-1-attrFilt;0,256;0,65;105,534;1,539;3;Arredondada e muito baixa circularidade;8;Irregular arredondada
1000;9;GSR9mm2-10MD146-1-attrFilt;0,274;0,906;79,022;1,104;4;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;0.40;GSRMAOSUJAA30.4018791-1-attrFilt;0,592;0,574;72,391;1,743;1;Arredondada e baixa circularidade;7;Regular Semi-esferica
1000;5.56;A2MS5.56(1)-1-attrFilt;0,527;0,659;83,103;1,518;2;Arredondada e baixa circularidade;7;Regular Semi-esferica
1000;5.56;A2MS5.56(3)-1-attrFilt;0,631;0,68;107,829;1,470;2;Arredondada e Moderadamente circular;6;Regular Semi-esferica
1000;5.56;GSR5.561-10-ME1276-1-attrFilt;0,136;0,816;72,3;1,225;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.561-10-ME1613-1-attrFilt;0,101;0,77;121,703;1,299;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.561-10-ME1977-1-attrFilt;0,203;0,872;81,764;1,146;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.561-10-ME3218-1-attrFilt;0,098;0,438;145,73;2,285;2;Sub arredondada e muito baixa circularidade;12;Irregular
1000;5.56;GSR5.561-10-ME4035-1-attrFilt;0,185;0,773;77,144;1,293;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.561-10-ME4784-1-attrFilt;0,609;0,832;70,734;1,202;2;Muito arredondado e Moderamente circular;2;Regular nao esferica
1000;5.56;GSR5.56-2-1-MD147-1-attrFilt;0,261;0,83;100,845;1,204;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.56-2-1-MD757-1-attrFilt;0,288;0,786;90,414;1,273;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;5.56;GSR5.56-2-1-MD1887-1-attrFilt;0,136;0,949;105,476;1,054;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.563-10-ME516-1-attrFilt;0,176;0,47;88,291;2,126;2;Sub arredondada e muito baixa circularidade;12;Irregular
1000;5.56;GSR5.56mm1-10MD826-1-attrFilt;0,526;0,768;199,379;1,302;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
1000;5.56;GSR5.56mm1-10MD1277-1-attrFilt;0,199;0,38;91,747;2,633;2;Sub arredondada e muito baixa circularidade;12;Irregular
1000;5.56;GSR5.56mm1-10MD138-1-attrFilt;0,188;0,665;136,325;1,505;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
1000;5.56;GSR5.56mm2-10MD837-1-attrFilt;0,547;0,891;101,845;1,122;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
1000;5.56;GSR5.56mm2-10ME882-1-attrFilt;0,28;0,432;54,445;2,317;2;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
1000;5.56;GSR5.56mm2-10ME987-1-attrFilt;0,071;0,631;74,846;1,585;2;Arredondada e muito baixa circularidade;8;Irregular
1000;5.56;GSR5.56mm2-10ME1068-1-attrFilt;0,143;0,542;75,566;1,845;2;Arredondada e muito baixa circularidade;8;Irregular
1000;5.56;GSR5.56mm2-10ME1069-1-attrFilt;0,261;0,77;49,979;1,299;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;5.56;GSR5.56mm4-10MD41-1-attrFilt;0,527;0,862;65,118;1,160;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
1000;5.56;GSR5.56mm4-10MD257-1-attrFilt;0,583;0,885;73,305;1,130;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
1000;5.56;GSR5.56mm5-10MD1263-1-attrFilt;0,333;0,949;125,877;1,054;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;5.56;GSR5.56mm5-10MD1850-1-attrFilt;0,062;0,439;144,03;2,278;2;Sub arredondada e muito baixa circularidade;12;Irregular
1000;5.56;GSR5.56mm5-10ME18-1-attrFilt;0,644;0,843;63,055;1,187;2;Muito arredondado e Moderamente circular;2;Regular nao esferica
1000;7.62;GSR7.622-10ME276-1-attrFilt;0,41;0,816;114,901;1,225;3;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;7.62;GSR7.625-1ME1062-1-attrFilt;0,312;0,872;87,644;1,147;3;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;7.62;GSR7.623-10-MD516-1-attrFilt;0,176;0,47;88,291;2,126;3;Sub arredondada e muito baixa circularidade;12;Irregular
1000;7.62;GSR7-62-4-10MD183-1-attrFilt;0,174;0,518;111,754;1,929;3;Arredondada e muito baixa circularidade;8;Irregular
1000;9;GSR9mm1-10ME442-1-attrFilt;0,081;0,731;97,343;1,367;4;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1000;9;GSR9mm1-10MD132-1-attrFilt;0,234;0,584;134,855;1,714;4;Arredondada e muito baixa circularidade;8;Irregular
1000;7.62;GSRGSR7.62210TORAX1476-1-attrFilt;0,14;0,27;124,49;3,75;3;Sub arredondada e muito baixa circularidade;12;Irregular
1000;5.56;GSR5.565-1ROSTO148-1-attrFilt;0,037;0,697;150,539;1,435;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
1000;0.40;GSRMAOSUJAA20.403876-1-attrFilt;0,161;0,622;57,475;1,609;1;Arredondada e muito baixa circularidade;8;Irregular
1000;5.56;A1MS5.56-1-attrFilt;0,53;0,995;48,447;1,005;2;Muito arredondada e baixa circularidade;3;Regular Semi-esferica
1000;5.56;A2MS5.56(2)-1-attrFilt;0,37;0,706;66,139;1,416;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1000;5.56;Arma3MS5.56-1-attrFilt;0,399;0,427;93,835;2,343;2;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
1500;5.56;GSR5.561-10ME319-1-attrFilt;0,228;0,674;94,444;1,484;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
1500;5.56;GSR5.561-10ME589-1-attrFilt;0,31;0,867;61,637;1,154;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1500;5.56;GSR5.561-10ME1060-1-attrFilt;0,167;0,869;81,704;1,150;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
1500;5.56;GSR5.561-10ME1217-1-attrFilt;0,461;0,869;69,145;1,151;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
1500;5.56;GSR5.561-10ME2471-1-attrFilt;0,271;0,67;104,447;1,492;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
1500;5.56;GSR5.561-10ME2942-1-attrFilt;0,326;0,896;74,868;1,116;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1500;7.62;GSR7.621-10ME370-1-attrFilt;0,268;0,403;85,034;2,479;3;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
1500;7.62;GSR7.624-10ME1924-1-attrFilt;0,335;0,808;83,085;1,237;3;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1500;7.62;GSR7.625-10ME1040-1-attrFilt;0,338;0,705;67,146;1,418;3;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1500;7.62;GSR7-62-4-10MD2032-1-attrFilt;0,707;0,75;54,029;1,330;3;Muito arredondada e muito circular;1;Regular esferica
1500;9;GSR9mm1-1MD194-1-attrFilt;0,432;0,658;58,655;1,521;4;Arredondada e muito baixa circularidade;8;Regular nao esferica
1500;5.56;A2MS5.56_(2)-1-attrFilt;0,207;0,587;76,289;1,705;2;Arredondada e muito baixa circularidade;8;Irregular
1500;5.56;A2MS5.56_(3)-1-attrFilt;0,412;0,836;45,715;1,197;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1500;5.56;A2MS5.56part45PbBaSb_147-1-attrFilt;0,489;0,434;33,808;2,306;2;Sub arredondada e baixa circularidade;9;Irregular arredondada
1500;5.56;A2MS5.56_(4)-1-attrFilt;0,232;0,652;39,733;1,533;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
1500;5.56;A2MS5.56_(5)-1-attrFilt;0,331;0,482;56,745;2,075;2;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
1500;5.56;A2MS5.56_(6)-1-attrFilt;0,428;0,778;34,464;1,285;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
1500;5.56;Arma3MS5.5602part5PbBaSb_011-1-attrFilt;0,431;0,828;49,471;1,208;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;0.40;GSR0.401-10-ME462-1-attrFilt;0,24;0,287;42,942;3,483;1;Sub arredondada e muito baixa circularidade;12;Irregular
2000;0.40;GSR0.403-10MD359-1-attrFilt;0,429;0,833;38,32;1,200;1;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;5.56;GSR5.561-10ME2006-1-attrFilt;0,008;0,788;65,242;1,270;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
2000;5.56;GSR5.561-10ME4727-1-attrFilt;0,143;0,581;65,824;1,720;2;Arredondada e muito baixa circularidade;8;Irregular
2000;5.56;GSR5.561-10-ME149-1-attrFilt;0,325;0,783;49,241;1,276;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;5.56;GSR5.561-10-ME198-1-attrFilt;0,15;0,647;47,61;1,545;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
2000;5.56;GSR5.561-10-ME317-1-attrFilt;0,654;0,833;51,33;1,201;2;Muito arredondado e Moderamente circular;2;Regular nao esferica
2000;5.56;GSR5.561-10-ME345-1-attrFilt;0,251;0,784;33,852;1,276;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
2000;5.56;GSR5.561-10-ME374-1-attrFilt;0,161;0,847;35,145;1,180;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
2000;5.56;GSR5.561-10-ME489-1-attrFilt;0,326;0,884;40,465;1,131;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;5.56;GSR5.561-10-ME692-1-attrFilt;0,597;0,767;26,827;1,304;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
2000;5.56;GSR5.561-10-ME731-1-attrFilt;0,393;0,702;29,028;1,425;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;5.56;GSR5.561-10-ME2177_001-1-attrFilt;0,218;0,911;35,887;1,097;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
2000;5.56;GSR5.561-10-ME2326-1-attrFilt;0,304;0,933;40,336;1,071;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;5.56;GSR5.561-10-ME2615-1-attrFilt;0,643;0,711;30,568;1,407;2;Muito arredondado e Moderamente circular;2;Regular nao esferica
2000;5.56;GSR5.561-10-ME2637-1-attrFilt;0,202;0,853;46,849;1,172;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
2000;5.56;GSR5.561-10-ME2706-1-attrFilt;0,533;0,904;48,51;1,106;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
2000;5.56;GSR5.561-10-ME3285-1-attrFilt;0,161;0,591;59,107;1,691;2;Arredondada e muito baixa circularidade;8;Irregular
2000;5.56;GSR5.561-10-ME3485-1-attrFilt;0,739;0,817;35,619;1,225;2;Muito arredondada e muito circular;1;Regular esferica
2000;5.56;GSR5.561-10-ME3753-1-attrFilt;0,229;0,896;32,033;1,116;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
2000;5.56;GSR5.561-10-ME3841-1-attrFilt;0,202;0,34;49,992;2,943;2;Sub arredondada e muito baixa circularidade;12;Irregular
2000;5.56;GSR5.561-10-ME4113-1-attrFilt;0,463;0,663;37,909;1,507;2;Arredondada e baixa circularidade;7;Regular nao esferica
2000;5.56;GSR5.56-2-1-MD712-1-attrFilt;0,183;0,645;46,335;1,550;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
2000;5.56;GSR5.562-10-ME94-1-attrFilt;0,098;0,702;26,59;1,425;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
2000;5.56;GSR5.563-10-ME316-1-attrFilt;0,401;0,566;50,451;1,768;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
2000;5.56;GSR5.565-10TORAX52-1-attrFilt;0,703;0,827;27,906;1,209;2;Muito arredondada e muito circular;1;Regular esferica
2000;5.56;GSR5.56-1-1-TORAX40-1-attrFilt;0,48;0,941;31,205;1,063;2;Muito arredondada e baixa circularidade;3;Regular esferica
2000;5.56;GSR5.56mm1-10MD260-1-attrFilt;0,318;0,62;32,719;1,613;2;Arredondada e muito baixa circularidade;8;Irregular
2000;5.56;GSR5.56mm1-10MD124-1-attrFilt;0,449;0,627;53,003;1,596;2;Arredondada e baixa circularidade;7;Regular nao esferica
2000;5.56;GSR5.56mm1-10MD130-1-attrFilt;0,442;0,973;31,822;1,027;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;5.56;GSR5.56mm1-10MD1667-1-attrFilt;0,428;0,536;48,098;1,865;2;Arredondada e muito baixa circularidade;8;Irregular
2000;5.56;GSR5.56mm1-10MD1682-1-attrFilt;0,43;0,869;64,08;1,151;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;5.56;GSR5.56mm2-10MD12-1-attrFilt;0,525;0,795;34,341;1,259;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
2000;5.56;GSR5.56mm2-10MD1067-1-attrFilt;0,549;0,935;48,169;1,070;2;Muito arredondada e baixa circularidade;3;Regular Semi-esferica
2000;5.56;GSR5.56mm2-10MD1193-1-attrFilt;0,535;0,881;42,414;1,135;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
2000;5.56;GSR5.56mm2-10ME302-1-attrFilt;0,188;0,41;56,374;2,441;2;Sub arredondada e muito baixa circularidade;12;Irregular
2000;5.56;GSR5.56mm2-10ME600-1-attrFilt;0,172;0,69;35,193;1,448;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
2000;5.56;GSR5.56mm2-10ME1224-1-attrFilt;0,319;0,817;21,718;1,224;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;5.56;GSR5.56mm2-10ME1296-1-attrFilt;0,155;0,359;31,18;2,784;2;Sub arredondada e muito baixa circularidade;12;Irregular
2000;5.56;GSR5.56mm2-10ME1824-1-attrFilt;0,092;0,822;54,303;1,217;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
2000;5.56;GSR5.56mm3-10MD198-1-attrFilt;0,331;0,651;43,178;1,536;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
2000;5.56;GSR5.56mm3-10MD332-1-attrFilt;0,309;0,888;36,668;1,126;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;5.56;GSR5.56mm4-10MD213-1-attrFilt;0,39;0,509;63,593;1,963;2;Arredondada e muito baixa circularidade;8;Irregular
2000;7.62;GSR7.623-10ME600-1-attrFilt;0,254;0,559;51,376;1,790;3;Arredondada e muito baixa circularidade;8;Irregular
2000;7.62;GSR7.623-10ME615-1-attrFilt;0,512;0,698;38,567;1,432;3;Arredondada e baixa circularidade;7;Regular nao esferica
2000;7.62;GSR7.623-10ME714-1-attrFilt;0,324;0,707;34,755;1,414;3;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;7.62;GSR7.624-10ME468-1-attrFilt;0,301;0,561;53,857;1,782;3;Arredondada e muito baixa circularidade;8;Irregular
2000;7.62;GSR7.624-10ME2731-1-attrFilt;0,361;0,377;51,596;2,656;3;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
2000;7.62;GSR7.624-10ME3214-1-attrFilt;0,372;0,761;31,832;1,315;3;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;7.62;GSR7.624-10ME3444-1-attrFilt;0,213;0,514;68,739;1,944;3;Arredondada e muito baixa circularidade;8;Irregular
2000;7.62;GSR7.625-10ME560-1-attrFilt;0,195;0,725;53,371;1,380;3;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
2000;7.62;GSR7.625-10ME1172-1-attrFilt;0,68;0,904;37,648;1,106;3;Muito arredondado e Moderamente circular;2;Regular Semi-esferica
2000;7.62;GSR7.621-1-MD35-1-attrFilt;0,42;0,693;42,909;1,443;3;Arredondada e muito baixa circularidade;8;Regular nao esferica
2000;7.62;GSR7.623-10-MD316-1-attrFilt;0,401;0,566;50,451;1,768;3;Arredondada e muito baixa circularidade;8;Irregular
2000;7.62;GSR7-62-4-10MD84-1-attrFilt;0,505;0,538;27,992;1,859;3;Arredondada e baixa circularidade;7;Regular Semi-esferica
2000;7.62;GSR7-62-4-10MD3634-1-attrFilt;0,555;0,918;50,475;1,090;3;Muito arredondada e baixa circularidade;3;Regular nao esferica
2000;9;GSR9mm2-1MD59-1-attrFilt;0,41;0,789;48,136;1,268;4;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;9;GSR9mm5-1ME596-1-attrFilt;0,544;0,823;42,921;1,215;4;Muito arredondada e baixa circularidade;3;Regular nao esferica
2000;5.56;GSR5.561-10ME308-1-attrFilt;0,306;0,88;59,845;1,136;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;7.62;GSR7.62-2-1-MD688-1-attrFilt;0,404;0,827;35,169;1,209;3;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;5.56;GSR5.56mm5-10ME80-1-attrFilt;0,681;0,703;40,071;1,423;2;Muito arredondado e Moderamente circular;2;Regular nao esferica
2000;9;GSR9mm5-10ME1432-1-attrFilt;0,713;0,663;23,035;1,508;4;Arredondada e muito circular;5;Regular nao esferica
2000;0.40;GSRMAOSUJAA10.405403-1-attrFilt;0,387;0,824;54,579;1,214;1;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;0.40;GSRMAOSUJAA10.407597-1-attrFilt;0,442;0,719;43,209;1,390;1;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;0.40;GSRMAOSUJAA10.4013210-1-attrFilt;0,073;0,239;54,666;4,187;1;Muito Angular e muito baixa circularidade;16;Irregular
2000;0.40;GSRMAOSUJAA20.401505-1-attrFilt;0,646;0,762;42,049;1,312;1;Muito arredondado e Moderamente circular;2;Regular nao esferica
2000;0.40;GSRMAOSUJAA30.404569-1-attrFilt;0,307;0,709;58,505;1,411;1;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
2000;0.40;GSRMAOSUJAA30.408014-1-attrFilt;0,334;0,723;54,798;1,383;1;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2000;0.40;GSRMAOSUJAA30.409382-1-attrFilt;0,644;0,884;41,995;1,131;1;Muito arredondado e Moderamente circular;2;Regular Semi-esferica
2000;0.40;GSRMAOSUJAA30.4013893-1-attrFilt;0,228;0,415;60,699;2,410;1;Sub arredondada e muito baixa circularidade;12;Irregular
2000;0.40;GSRMAOSUJAA30.4018481-1-attrFilt;0,714;0,94;34,81;1,064;1;Muito arredondada e muito circular;1;Regular esferica
2000;0.40;GSRMAOSUJAA30.4022801-1-attrFilt;0,575;0,813;37,547;1,229;1;Muito arredondada e baixa circularidade;3;Regular nao esferica
2000;5.56;A1MS5.56part7PbBaSb_032-1-attrFilt;0,252;0,423;28,698;2,366;2;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
2000;5.56;A2MS5.56part31PbBaSb_101-1-attrFilt;0,292;0,753;33,946;1,328;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
2000;5.56;A2MS5.56part35PbBaSb_116-1-attrFilt;0,466;0,625;29,977;1,600;2;Arredondada e baixa circularidade;7;Regular nao esferica
2000;5.56;A2MS5.56part41PbBaSb_133-1-attrFilt;0,363;0,518;47,887;1,932;2;Arredondada e muito baixa circularidade;8;Irregular
2000;0.40;GSRMAOSUJAA30.406788-1-attrFilt;0,439;0,7;57,443;1,428;1;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2500;5.56;GSR5.561-10ME863-1-attrFilt;0,2;0,788;52,421;1,270;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
2500;5.56;GSR5.561-10ME1298-1-attrFilt;0,331;0,763;49,654;1,310;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
2500;5.56;GSR5.561-10ME1129-1-attrFilt;0,261;0,773;55,987;1,294;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
3000;0.40;GSR.401-10ME962-1-attrFilt;0,254;0,287;44,019;3,480;1;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
3000;0.40;GSR0.403-1MD137-1-attrFilt;0,285;0,269;28,817;3,716;1;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
3000;0.40;GSR0.403-1MD228-1-attrFilt;0,575;0,731;30,966;1,368;1;Muito arredondada e baixa circularidade;3;Regular nao esferica
3000;0.40;GSR0.405-10ME539-1-attrFilt;0,317;0,669;28,465;1,495;1;Arredondada e muito baixa circularidade;8;Irregular arredondada
3000;5.56;GSR5.561-1MD631-1-attrFilt;0,366;0,776;32,107;1,288;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
3000;5.56;GSR5.561-10ME2098-1-attrFilt;0,235;0,631;38,713;1,585;2;Arredondada e muito baixa circularidade;8;Irregular
3000;5.56;GSR5.561-10ME2368-1-attrFilt;0,552;0,827;38,877;1,209;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
3000;5.56;GSR5.561-10ME3888-1-attrFilt;0,409;0,772;35,376;1,295;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
3000;5.56;GSR5.561-10ME4354-1-attrFilt;0,169;0,833;20,403;1,201;2;Muito arredondada  e muito baixa circularidade;4;Irregular arredondada
3000;5.56;GSR5.56-3-1ME408-1-attrFilt;0,392;0,812;39,711;1,231;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
3000;5.56;GSR5.561-10-ME366-1-attrFilt;0,225;0,689;35,077;1,451;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
3000;5.56;GSR5.56mm1-10MD23-1-attrFilt;0,409;0,822;40,974;1,216;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
3000;5.56;GSR5.56mm1-10MD869-1-attrFilt;0,484;0,537;26,807;1,861;2;Arredondada e baixa circularidade;7;Regular nao esferica
3000;5.56;GSR5.56mm1-10MD915-1-attrFilt;0,29;0,897;33,103;1,114;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
3000;5.56;GSR5.56mm1-10MD1254-1-attrFilt;0,543;0,63;23,135;1,587;2;Arredondada e baixa circularidade;7;Regular Semi-esferica
3000;5.56;GSR5.56mm1-10MD1749-1-attrFilt;0,483;0,611;27,339;1,637;2;Arredondada e baixa circularidade;7;IrRegular nao esferica
3000;5.56;GSR5.56mm2-10MD681-1-attrFilt;0,438;0,916;29,363;1,092;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
