Magnificacao;Municao;Label;Circ;Round;df;AR;Mun;Nova classificacao;Classificacao numerica;Classificacao morfometrica
10000;0.40;GSR0.403-1MD415-1-attrFilt;0,7;0,928;8,637;1,077;1;Muito arredondada e muito circular;1;Regular esferica
10000;0.40;GSR0.403-1MD611-1-attrFilt;0,467;0,784;10,7;1,275;1;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;0.40;GSR0.403-1MD659-1-attrFilt;0,446;0,774;8,211;1,292;1;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;0.40;GSR0.401-10-ME239-1-attrFilt;0,605;0,626;6,816;1,597;1;Arredondada e Moderadamente circular;6;Regular Semi-esferica
10000;0.40;GSR0.401-10-ME472-1-attrFilt;0,565;0,554;9,028;1,804;1;Arredondada e baixa circularidade;7;Regular Semi-esferica
10000;0.40;GSR0.401-10-ME670-1-attrFilt;0,621;0,782;7,08;1,279;1;Muito arredondado e Moderamente circular;2;Regular nao esferica
10000;0.40;GSR0.401-10-ME680-1-attrFilt;0,547;0,716;7,178;1,397;1;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;0.40;GSR0.401-10-ME743-1-attrFilt;0,412;0,383;7,816;2,612;1;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
10000;0.40;GSR0.401-10-ME883-1-attrFilt;0,429;0,694;11,462;1,440;1;Arredondada e muito baixa circularidade;8;Regular nao esferica
10000;0.40;GSR0.401-10-ME1175-1-attrFilt;0,404;0,678;10,547;1,476;1;Arredondada e muito baixa circularidade;8;Regular nao esferica
10000;0.40;GSR0.402-10-ME40-1-attrFilt;0,639;0,847;10,084;1,180;1;Muito arredondado e Moderamente circular;2;Regular Semi-esferica
10000;0.40;GSR0.403-10MD55-1-attrFilt;0,406;0,854;6,018;1,171;1;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;0.40;GSR0.403-10MD388-1-attrFilt;0,634;0,986;8,326;1,014;1;Muito arredondado e Moderamente circular;2;Regular Semi-esferica
10000;0.40;GSR0.403-10MD502-1-attrFilt;0,349;0,227;10,99;4,399;1;Muito Angular e muito baixa circularidade;16;Irregular
10000;0.40;GSR0.403-10MD530-1-attrFilt;0,421;0,664;4,659;1,507;1;Arredondada e muito baixa circularidade;8;Regular nao esferica
10000;0.40;GSR0.403-10MD906-1-attrFilt;0,77;0,691;4,444;1,447;1;Arredondada e muito circular;5;Regular nao esferica
10000;0.40;GSR0.403-10MD925-1-attrFilt;0,415;0,726;6,724;1,378;1;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;0.40;GSR0.403-10-ME348-1-attrFilt;0,57;0,61;7,638;1,639;1;Arredondada e baixa circularidade;7;Regular Semi-esferica
10000;0.40;GSR0.403-10-ME477-1-attrFilt;0,421;0,474;8,587;2,110;1;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
10000;0.40;GSR0.403-10-ME556-1-attrFilt;0,378;0,878;8,646;1,139;1;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;0.40;GSR0.405-10ME658-1-attrFilt;0,328;0,449;9,39;2,226;1;Sub arredondada e muito baixa circularidade;12;Irregular arredondada
10000;0.40;GSR0.405-10ME663-1-attrFilt;0,513;0,513;7,47;1,948;1;Arredondada e baixa circularidade;7;Regular Semi-esferica
10000;5.56;GSR5.561-1MD246-1-attrFilt;0,397;0,66;9,216;1,516;2;Arredondada e muito baixa circularidade;8;Regular nao esferica
10000;5.56;GSR5.561-1MD267-1-attrFilt;0,152;0,679;15,442;1,472;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
10000;5.56;GSR5.561-1MD487-1-attrFilt;0,409;0,667;11,401;1,499;2;Arredondada e muito baixa circularidade;8;Regular nao esferica
10000;5.56;GSR5.561-1MD764-1-attrFilt;0,583;0,802;8,207;1,248;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;5.56;GSR5.561-1MD1017-1-attrFilt;0,393;0,756;10,111;1,324;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;5.56;GSR5.561-10ME15-1-attrFilt;0,484;0,748;13,026;1,336;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
10000;5.56;GSR5.561-10ME28-1-attrFilt;0,347;0,556;10,756;1,799;2;Arredondada e muito baixa circularidade;8;Irregular
10000;5.56;GSR5.561-10ME31-1-attrFilt;0,335;0,906;12,881;1,104;2;Muito arredondada  e muito baixa circularidade;4;Regular nao esferica
10000;5.56;GSR5.561-10ME1583-1-attrFilt;0,267;0,664;12,793;1,505;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
10000;5.56;GSR5.561-10ME1584-1-attrFilt;0,247;0,633;13,621;1,580;2;Arredondada e muito baixa circularidade;8;Irregular arredondada
10000;5.56;GSR5.561-10ME2373-1-attrFilt;0,444;0,693;13,724;1,443;2;Arredondada e muito baixa circularidade;8;Regular nao esferica
10000;5.56;GSR5.561-10ME126-1-attrFilt;0,511;0,741;12,46;1,350;2;Muito arredondada e baixa circularidade;3;Regular nao esferica
