t;x;y;z;a
292012654387793;-1.098114;8.693924;4.125946;3
292012659331641;-1.08255;8.702301;4.1642456;3
292012664275488;-1.0657959;8.754974;4.2193146;3
292012669188819;-1.0693817;8.75856;4.2229004;3
292012674132666;-1.098114;8.726242;4.24086;3
292012679076514;-1.098114;8.710678;4.2181244;3
292012684020362;-1.0789642;8.69632;4.2073517;3
292012688964209;-1.0909271;8.672363;4.2420654;3
292012693908057;-1.058609;8.722641;4.268402;3
292012698851904;-1.0478363;8.742996;4.328247;3
292012703795752;-1.0011444;8.746597;4.362961;3
292012708709082;-0.97003174;8.740601;4.376129;3
292012713652930;-0.95565796;8.719055;4.415634;3
292012718596778;-0.9508667;8.715469;4.445572;3
292012723540625;-0.9544678;8.687927;4.4479675;3
292012728484473;-0.91615295;8.725037;4.5066223;3
292012733428321;-0.91496277;8.73941;4.5700684;3
292012738341651;-0.95925903;8.744202;4.5509186;3
292012743285498;-0.97242737;8.717865;4.589218;3
292012748229346;-0.9460907;8.735809;4.5700684;3
292012753173194;-0.9389038;8.734619;4.5425262;3
292012758117041;-0.9712219;8.728638;4.5377502;3
292012763060889;-0.99157715;8.727432;4.494644;3
292012768004737;-0.9616394;8.744202;4.486267;3
292012772948584;-0.95207214;8.737015;4.520981;3
292012777892432;-0.9568634;8.722641;4.4826813;3
292012782805762;-0.93769836;8.715469;4.4838715;3
292012787749610;-0.9293213;8.742996;4.4922485;3
292012792693457;-0.8922119;8.728638;4.4276123;3
292012797637305;-0.8910217;8.721451;4.421631;3
292012802581153;-0.919754;8.7322235;4.422821;3
292012807494483;-0.9365082;8.744202;4.3881073;3
292012812438330;-0.9365082;8.729828;4.3617706;3
292012817382178;-0.9544678;8.735809;4.3653564;3
292012822326026;-0.93411255;8.751373;4.40007;3
292012827269873;-0.9568634;8.728638;4.4407806;3
292012832213721;-0.9389038;8.738205;4.434799;3
292012837157569;-0.96643066;8.7322235;4.45874;3
292012842070899;-0.9508667;8.734619;4.4527435;3
292012847014746;-0.9580536;8.75737;4.470703;3
292012851958594;-0.9760132;8.737015;4.421631;3
292012856902442;-1.0023499;8.741806;4.373749;3
292012861846289;-1.0011444;8.727432;4.3940887;3
292012866790137;-0.9939728;8.708282;4.352188;3
292012871703467;-1.0310822;8.6927185;4.295929;3
292012876647315;-1.0274811;8.675964;4.256424;3
292012881591162;-1.0382538;8.684341;4.2348785;3
292012886535010;-0.9975586;8.6987;4.197769;3
292012891478858;-0.9879761;8.702301;4.200165;3
292012896422705;-1.019104;8.702301;4.1546783;3
292012901366553;-1.0214996;8.713074;4.1427;3
292012906279883;-1.0370636;8.689133;4.1044006;3
292012911223731;-1.0478363;8.681946;4.122345;3
292012916167578;-1.0203094;8.708282;4.1235504;3
292012921111426;-1.0298767;8.689133;4.1247406;3
292012926055274;-1.0286865;8.711868;4.122345;3
292012930999121;-1.0095367;8.67836;4.1247406;3
292012935942969;-1.0358734;8.668777;4.1510773;3
292012940886817;-1.0167084;8.693924;4.1427;3
292012945830664;-1.0203094;8.690323;4.1319275;3
292012950774512;-1.0143127;8.683151;4.1510773;3
292012955687842;-1.0250854;8.729828;4.1798096;3
292012960631690;-1.0406494;8.710678;4.248047;3
292012965575537;-1.0095367;8.690323;4.2420654;3
292012970519385;-1.0358734;8.709488;4.248047;3
292012975432715;-1.0598145;8.714264;4.2863464;3
292012980376563;-1.0693817;8.77771;4.340225;3
292012985320410;-1.0729828;8.805252;4.350998;3
292012990264258;-1.0143127;8.7872925;4.4479675;3
292012995208106;-0.97361755;8.772934;4.4766846;3
292013000151953;-0.9688263;8.790878;4.5042267;3
