t;x;y;z;a;;;;
2,93211E+14;49.017.487;6.259.018;14.635.925;3;;1654638165226;;
2,93211E+14;5.005.905;6.236.267;10.757.294;3;;1654638165231;;
2,93211E+14;49.125.214;6.180.008;0.84588623;3;;1654638165236;;
2,93211E+14;4.764.084;61.536.713;0.7956085;3;;1654638165241;;
2,93211E+14;4.664.734;6.117.752;0.8829956;3;;1654638165246;;
2,93211E+14;4.487.564;6.081.848;10.122.833;3;;1654638165251;;
2,93211E+14;40.554.047;60.076.294;10.398.102;3;;1654638165255;;
2,93211E+14;34.412.842;5.848.404;0.93566895;3;;1654638165260;;
2,93211E+14;28.690.796;5.682.007;0.7034302;3;;1654638165265;;
2,93211E+14;22.573.547;5.528.778;0.52386475;3;;1654638165270;;
2,93211E+14;16.516.266;54.342.194;0.58491516;3;;1654638165275;;
2,93211E+14;11.703.949;5.334.854;0.72976685;3;;1654638165280;;
2,93211E+14;0.7669678;514.093;0.98475647;3;;1654638165285;;
2,93211E+14;0.3874817;49.266.357;14.264.832;3;;1654638165290;;
2,93211E+14;-0.104522705;4.721.939;19.256.744;3;;1654638165295;;
2,93211E+14;-0.6755371;4.519.623;23.626.099;3;;1654638165300;;
2,93211E+14;-12.704.926;4.425.049;26.822.357;3;;1654638165305;;
2,93211E+14;-1.821.167;43.005.524;2.904.892;3;;1654638165310;;
2,93211E+14;-24.364.777;41.221.924;32.424.774;3;;1654638165315;;
2,93211E+14;-30.996.704;40.874.786;37.105.408;3;;1654638165320;;
2,93211E+14;-3.485.138;41.150.055;43.055.115;3;;1654638165325;;
2,93211E+14;-36.443.481;4.038.391;51.123.505;3;;1654638165330;;
2,93211E+14;-37.832.184;39.055.176;60.891.876;3;;1654638165335;;
2,93211E+14;-4.089.676;37.427.063;71.198.883;3;;1654638165339;;
2,93211E+14;-45.421.753;36.433.563;7.865.692;3;;1654638165344;;
2,93211E+14;-4.959.961;35.703.278;8.394.806;3;;1654638165349;;
2,93211E+14;-5.299.942;35.607.452;8.720.413;3;;1654638165354;;
2,93211E+14;-5.619.568;35.583.496;9.322.556;3;;1654638165359;;
2,93211E+14;-5.683.014;367.807;10.135.391;3;;1654638165364;;
2,93211E+14;-5.277.191;3.832.489;10.943.436;3;;1654638165369;;
2,93211E+14;-4.616.394;39.162.903;11.643.738;3;;1654638165374;;
2,93211E+14;-3.825.119;39.390.259;12.188.416;3;;1654638165379;;
2,93211E+14;-2.983.551;4.086.273;12.381.149;3;;1654638165384;;
2,93211E+14;-23.047.943;42.730.255;12.306.931;3;;1654638165389;;
2,93211E+14;-18.439.026;44.430.084;12.115.387;3;;1654638165394;;
2,93211E+14;-17.553.253;45.699.005;11.643.738;3;;1654638165399;;
2,93211E+14;-22.377.625;46.680.603;110.260.315;3;;1654638165404;;
2,93211E+14;-30.278.473;49.182.587;10.541.199;3;;1654638165409;;
2,93211E+14;-3.643.158;53.755.493;10.106.659;3;;1654638165414;;
2,93211E+14;-40.082.703;57.394.714;947.818;3;;1654638165418;;
2,93211E+14;-4.307.541;57.957.306;8.805.405;3;;1654638165423;;
2,93211E+14;-47.408.905;5.592.224;8.322.983;3;;1654638165428;;
2,93211E+14;-52.592.316;53.671.722;8.108.704;3;;1654638165433;;
2,93211E+14;-57.596.283;51.792.297;8.309.814;3;;1654638165438;;
2,93211E+14;-6.376.129;5.128.952;8.577.957;3;;1654638165443;;
2,93211E+14;-71.518.555;52.306.976;8.751.541;3;;1654638165448;;
2,93211E+14;-77.815.247;5.413.864;8.949.066;3;;1654638165453;;
2,93211E+14;-8.127.487;56.173.706;9.268.692;3;;1654638165458;;
2,93211E+14;-8.289.108;57.550.354;9.728.378;3;;1654638165463;;
2,93211E+14;-8.323.822;58.352.356;10.291.016;3;;1654638165468;;
2,93211E+14;-8.208.893;5.848.404;10.882.385;3;;1654638165473;;
2,93211E+14;-79.383.545;5.919.037;11.509.659;3;;1654638165478;;
2,93211E+14;-74.212.036;6.006.424;11.874.771;3;;1654638165483;;
2,93211E+14;-6.797.516;59.693.146;12.041.168;3;;1654638165488;;
2,93211E+14;-61.642.456;60.746.613;11.703.583;3;;1654638165493;;
2,93211E+14;-5.674.637;6.354.782;10.866.821;3;;1654638165498;;
2,93211E+14;-53.202.972;66.361.084;97.535.095;3;;1654638165502;;
2,93211E+14;-50.688.934;68.192.596;8.652.176;3;;1654638165507;;
2,93211E+14;-49.707.336;69.653.015;78.273.773;3;;1654638165512;;
2,93211E+14;-49.264.374;7.220.291;74.670.563;3;;1654638165517;;
2,93211E+14;-49.815.063;7.407.028;74.059.906;3;;1654638165522;;
2,93211E+14;-51.539;7.464.493;760.112;3;;1654638165527;;
2,93211E+14;-54.435.883;7.445.343;801.532;3;;1654638165532;;
2,93211E+14;-5.615.982;753.273;8.307.419;3;;1654638165537;;
2,93211E+14;-5.703.369;7.584.198;8.327.759;3;;1654638165542;;
2,93211E+14;-58.757.477;75.351.257;8.316.986;3;;1654638165547;;
2,93211E+14;-59.703.217;74.740.753;8.287.064;3;;1654638165552;;
2,93211E+14;-598.349;7.448.929;825.354;3;;1654638165557;;
2,93211E+14;-5.988.266;753.154;8.180.527;3;;1654638165562;;
2,93211E+14;-60.972.137;7.596.176;8.125.458;3;;1654638165567;;
2,93211E+14;-62.983.246;7.583.008;8.032.074;3;;1654638165572;;
2,93211E+14;-65.149.994;76.799.774;8.027.298;3;;1654638165577;;
2,93211E+14;-6.731.674;7.805.664;8.272.705;3;;1654638165581;;
2,93211E+14;-68.717.346;7.908.615;847.142;3;;1654638165586;;
2,93211E+14;-7.107.559;8.041.504;8.665.344;3;;1654638165591;;
2,93211E+14;-7.236.847;8.210.297;8.813.782;3;;1654638165596;;
2,93211E+14;-7.257.202;83.563.385;8.865.265;3;;1654638165601;;
2,93211E+14;-73.302.155;8.453.308;8.940.674;3;;1654638165606;;
2,93211E+14;-7.607.956;8.567.032;9.049.622;3;;1654638165611;;
2,93212E+14;-803.891;8.658.005;9.188.477;3;;1654638165616;;
2,93212E+14;-8.496.201;86.987;9.405.151;3;;1654638165621;;
2,93212E+14;-9.013.351;8.666.382;96.349.945;3;;1654638165626;;
2,93212E+14;-9.498.169;8.648.422;9.831.329;3;;1654638165631;;
2,93212E+14;-9.884.842;8.742.996;9.846.893;3;;1654638165636;;
2,93212E+14;-10.085.953;8.823.212;985.527;3;;1654638165641;;
2,93212E+14;-10.260.727;8.751.373;9.880.402;3;;1654638165646;;
2,93212E+14;-1.041.275;8.598.145;1.005.159;3;;1654638165651;;
2,93212E+14;-10.361.282;84.353.485;10.343.689;3;;1654638165656;;
2,93212E+14;-993.512;8.272.537;1.066.571;3;;1654638165661;;
2,93212E+14;-942.395;8.175.568;10.943.436;3;;1654638165665;;
2,93212E+14;-8.975.037;8.107.346;11.059.555;3;;1654638165670;;
2,93212E+14;-86.063.385;79.337.616;10.890.762;3;;1654638165675;;
2,93212E+14;-8.232.834;7.797.287;10.615.433;3;;1654638165680;;
2,93212E+14;-794.075;7.658.432;10.335.297;3;;1654638165685;;
2,93212E+14;-7.648.651;747.287;10.238.342;3;;1654638165690;;
2,93212E+14;-72.464.294;7.301.697;10.354.462;3;;1654638165695;;
2,93212E+14;-6.783.142;72.142.944;10.626.205;3;;1654638165700;;
2,93212E+14;-64.515.533;7.113.739;109.470.215;3;;1654638165705;;
2,93212E+14;-63.330.383;69.066.467;11.327.698;3;;1654638165710;;
2,93212E+14;-6.359.375;6.612.152;11.732.315;3;;1654638165715;;
2,93212E+14;-6.335.434;64.110.413;12.182.434;3;;1654638165720;;
2,93212E+14;-61.953.735;63.128.815;12.548.737;3;;1654638165725;;
2,93212E+14;-59.332.123;61.357.117;129.366;3;;1654638165730;;
2,93212E+14;-5.571.686;58.747.406;1.319.278;3;;1654638165735;;
2,93212E+14;-5.260.437;56.006.165;13.324.463;3;;1654638165740;;
2,93212E+14;-48.989.105;53.001.404;13.468.109;3;;1654638165744;;
2,93212E+14;-4.457.184;5.106.201;13.525.574;3;;1654638165749;;
2,93212E+14;-40.381.927;48.943.176;13.647.675;3;;1654638165754;;
2,93212E+14;-36.946.259;46.812.286;13.937.378;3;;1654638165759;;
2,93212E+14;-3.342.682;4.480.118;14.127.716;3;;1654638165764;;
2,93212E+14;-28.458.862;42.323.303;14.167.221;3;;1654638165769;;
2,93212E+14;-22.808.533;40.048.676;14.087.021;3;;1654638165774;;
2,93212E+14;-16.787.109;3.772.644;13.878.723;3;;1654638165779;;
2,93212E+14;-11.064.911;35.703.278;13.598.602;3;;1654638165784;;
2,93212E+14;-0.6719513;33.919.525;13.284.958;3;;1654638165789;;
2,93212E+14;-0.2888794;32.842.255;12.900.696;3;;1654638165794;;
2,93212E+14;0.13967896;32.183.838;126.193.695;3;;1654638165799;;
2,93212E+14;0.58021545;3.247.116;12.259.048;3;;1654638165804;;
2,93212E+14;0.93096924;32.770.386;11.759.857;3;;1654638165809;;
2,93212E+14;12.290.497;33.644.257;11.269.043;3;;1654638165814;;
2,93212E+14;15.175.476;34.709.625;10.778.229;3;;1654638165819;;
2,93212E+14;17.857.056;35.822.906;10.440.643;3;;1654638165824;;
2,93212E+14;21.161.041;3.595.459;10.281.433;3;;1654638165828;;
2,93212E+14;24.369.202;36.517.334;10.259.888;3;;1654638165833;;
2,93212E+14;2.760.147;36.996.155;10.332.916;3;;1654638165838;;
2,93212E+14;30.019.531;36.828.613;10.451.416;3;;1654638165843;;
2,93212E+14;31.982.727;36.134.186;1.052.565;3;;1654638165848;;
2,93212E+14;33.108.063;3.511.673;10.622.604;3;;1654638165853;;
2,93212E+14;34.412.842;33.428.802;10.598.663;3;;1654638165858;;
2,93212E+14;3.657.959;31.944.427;10.641.754;3;;1654638165863;;
2,93212E+14;39.907.532;30.663.452;1.068.605;3;;1654638165868;;
2,93212E+14;4.337.921;29.562.073;10.651.337;3;;1654638165873;;
2,93212E+14;47.353.516;2.876.007;10.536.423;3;;1654638165878;;
2,93212E+14;52.177.887;27.922.058;10.411.911;3;;1654638165883;;
2,93212E+14;56.643.066;27.323.608;10.203.629;3;;1654638165888;;
2,93212E+14;6.036.606;27.239.685;9.876.816;3;;1654638165893;;
2,93212E+14;62.879.944;26.928.558;9.454.239;3;;1654638165898;;
2,93212E+14;64.783.325;26.665.192;8.969.406;3;;1654638165903;;
2,93212E+14;66.159.973;26.808.777;85.516.205;3;;1654638165908;;
2,93212E+14;67.345.123;2.725.174;8.246.368;3;;1654638165912;;
2,93212E+14;68.614.044;27.742.615;8.018.921;3;;1654638165917;;
2,93212E+14;69.368.286;27.682.648;7.817.795;3;;1654638165922;;
2,93212E+14;6.875.778;27.120.056;7.718.445;3;;1654638165927;;
2,93212E+14;6.843.445;25.982.819;7.604.721;3;;1654638165932;;
2,93212E+14;6.838.669;25.061.035;7.386.841;3;;1654638165937;;
2,93212E+14;6.827.896;23.827.972;7.127.075;3;;1654638165942;;
2,93212E+14;6.781.204;22.140.045;68.313.904;3;;1654638165947;;
2,93212E+14;6.697.403;2.065.567;6.500.992;3;;1654638165952;;
2,93212E+14;6.654.312;18.991.699;6.260.376;3;;1654638165957;;
2,93212E+14;65.776.978;17.902.374;60.329.285;3;;1654638165962;;
2,93212E+14;6.444.809;1.674.118;5.858.139;3;;1654638165967;;
2,93212E+14;64.065.094;15.986.938;5.853.363;3;;1654638165972;;
2,93212E+14;6.384.964;15.687.714;5.691.742;3;;1654638165977;;
2,93212E+14;63.825.684;15.639.801;55.109.863;3;;1654638165982;;
2,93212E+14;6.207.794;14.861.755;5.351.776;3;;1654638165987;;
2,93212E+14;59.085.083;13.760.376;5.169.815;3;;1654638165991;;
2,93212E+14;5.615.219;1.298.233;50.022.125;3;;1654638165996;;
2,93212E+14;53.147.583;12.407.684;48.466.034;3;;1654638166001;;
2,93212E+14;49.795.685;12.096.405;471.611;3;;1654638166006;;
2,93212E+14;4.566.559;1.195.282;46.371;3;;1654638166011;;
2,93212E+14;41.571.503;11.461.945;44.754.944;3;;1654638166016;;
2,93212E+14;3.792.038;10.971.222;42.827.606;3;;1654638166021;;
2,93212E+14;35.849.457;10.264.893;40.277.863;3;;1654638166026;;
2,93212E+14;3.551.422;10.025.482;38.063.202;3;;1654638166031;;
2,93212E+14;36.675.415;10.432.434;3.497.467;3;;1654638166036;;
2,93212E+14;38.650.665;11.234.589;31.431.274;3;;1654638166041;;
2,93212E+14;41.619.415;11.617.584;28.917.236;3;;1654638166046;;
2,93212E+14;44.456.635;12.539.368;25.912.628;3;;1654638166051;;
2,93212E+14;4.621.628;13.042.145;2.347.046;3;;1654638166056;;
2,93212E+14;464.917;12.850.647;21.279.755;3;;1654638166061;;
2,93212E+14;4.619.232;13.269.653;2.129.181;3;;1654638166066;;
2,93212E+14;45.522.003;14.574.432;23.422.546;3;;1654638166071;;
2,93212E+14;43.786.163;15.855.408;26.104.126;3;;1654638166075;;
2,93212E+14;4.109.268;16.908.722;30.102.386;3;;1654638166080;;
2,93212E+14;36.866.913;17.471.466;34.878.845;3;;1654638166085;;
2,93212E+14;32.126.465;18.189.697;40.217.896;3;;1654638166090;;
2,93212E+14;27.996.368;19.686.127;4.671.814;3;;1654638166095;;
2,93212E+14;24.405.212;21.553.497;53.733.215;3;;1654638166100;;
2,93212E+14;21.580.048;22.690.735;6.046.097;3;;1654638166105;;
2,93212E+14;20.023.804;23.037.872;6.644.638;3;;1654638166110;;
2,93212E+14;19.389.343;2.342.102;7.098.343;3;;1654638166115;;
2,93212E+14;19.221.649;23.432.922;73.700.867;3;;1654638166120;;
2,93212E+14;19.269.562;24.031.525;75.065.613;3;;1654638166125;;
2,93212E+14;17.713.318;24.558.258;74.838.104;3;;1654638166130;;
2,93212E+14;1.523.529;253.125;74.119.873;3;;1654638166135;;
2,93212E+14;12.086.945;26.557.465;7.297.058;3;;1654638166140;;
2,93212E+14;0.9070282;27.299.652;71.330.566;3;;1654638166145;;
2,93212E+14;0.69633484;28.221.436;70.229.187;3;;1654638166150;;
2,93212E+14;0.5263519;29.574.127;6.995.392;3;;1654638166154;;
2,93212E+14;0.23664856;31.345.825;6.976.242;3;;1654638166159;;
2,93212E+14;-0.09854126;32.997.742;70.301.056;3;;1654638166164;;
2,93212E+14;-0.55104065;34.709.625;70.229.187;3;;1654638166169;;
2,93212E+14;-10.933.228;35.822.906;70.839.844;3;;1654638166174;;
2,93212E+14;-16.416.016;36.960.144;7.197.708;3;;1654638166179;;
2,93212E+14;-21.276.245;38.420.715;7.450.287;3;;1654638166184;;
2,93212E+14;-25.178.833;39.521.942;7.797.455;3;;1654638166189;;
2,93212E+14;-28.363.037;40.084.686;8.124.252;3;;1654638166194;;
2,93212E+14;-31.271.973;40.431.824;8.360.092;3;;1654638166199;;
2,93212E+14;-34.767.609;41.269.836;8.360.092;3;;1654638166204;;
2,93212E+14;-37.712.402;4.184.433;8.150.589;3;;1654638166209;;
2,93212E+14;-39.747.467;4.167.679;78.357.544;3;;1654638166214;;
2,93212E+14;-4.042.984;4.198.807;75.089.417;3;;1654638166219;;
2,93212E+14;-39.268.646;42.287.292;7.103.134;3;;1654638166224;;
2,93212E+14;-36.946.259;4.361.603;669.252;3;;1654638166229;;
2,93212E+14;-33.702.087;4.551.956;627.594;3;;1654638166234;;
2,93212E+14;-30.673.523;4.682.434;59.479.218;3;;1654638166238;;
2,93212E+14;-29.488.373;46.800.385;57.851.257;3;;1654638166243;;
2,93212E+14;-28.686.218;45.890.656;57.156.982;3;;1654638166248;;
2,93212E+14;-27.572.937;45.770.874;5.793.503;3;;1654638166253;;
2,93212E+14;-26.292.114;4.654.907;5.988.632;3;;1654638166258;;
2,93212E+14;-25.633.698;47.027.893;62.268.524;3;;1654638166263;;
2,93212E+14;-26.543.427;46.728.516;6.490.219;3;;1654638166268;;
2,93212E+14;-2.777.649;4.583.069;68.158.264;3;;1654638166273;;
2,93212E+14;-27.656.708;44.897.003;7.134.262;3;;1654638166278;;
2,93212E+14;-2.659.134;44.705.505;74.323.273;3;;1654638166283;;
2,93212E+14;-2.753.708;4.480.118;7.494.583;3;;1654638166288;;
2,93212E+14;-2.967.987;44.274.445;74.359.283;3;;1654638166293;;
2,93212E+14;-32.708.588;4.334.076;7.402.405;3;;1654638166298;;
2,93212E+14;-35.605.469;42.538.757;7.326.996;3;;1654638166303;;
2,93212E+14;-3.774.826;4.235.916;718.573;3;;1654638166308;;
2,93212E+14;-38.562.317;41.868.286;70.181.427;3;;1654638166313;;
2,93212E+14;-38.969.421;41.425.476;68.637.085;3;;1654638166317;;
2,93212E+14;-3.972.351;40.898.743;6.574.005;3;;1654638166322;;
2,93212E+14;-39.496.155;4.030.014;6.241.226;3;;1654638166327;;
2,93212E+14;-3.793.991;40.156.555;58.820.953;3;;1654638166332;;
2,93212E+14;-36.407.623;4.021.637;56.654.205;3;;1654638166337;;
2,93212E+14;-35.976.562;40.084.686;55.325.317;3;;1654638166342;;
2,93212E+14;-36.407.623;40.168.457;54.714.813;3;;1654638166347;;
2,93212E+14;-3.766.449;39.474.182;55.241.547;3;;1654638166352;;
2,93212E+14;-38.598.328;38.695.984;57.252.655;3;;1654638166357;;
2,93212E+14;-39.687.653;38.516.388;5.916.809;3;;1654638166362;;
2,93212E+14;-4.129.181;38.289.032;6.035.324;3;;1654638166367;;
2,93212E+14;-42.943.726;38.708.038;62.400.208;3;;1654638166372;;
2,93212E+14;-4.434.433;39.462.128;63.657.227;3;;1654638166377;;
2,93212E+14;-45.625.305;40.395.966;6.490.219;3;;1654638166382;;
2,93212E+14;-4.540.985;40.108.643;675.119;3;;1654638166387;;
2,93212E+14;-4.402.115;39.557.953;7.031.311;3;;1654638166392;;
2,93212E+14;-41.243.896;38.923.492;73.485.413;3;;1654638166397;;
2,93212E+14;-37.377.167;39.330.444;77.148.438;3;;1654638166401;;
2,93212E+14;-34.599.915;401.326;8.052.429;3;;1654638166406;;
2,93212E+14;-33.247.223;40.336;8.338.547;3;;1654638166411;;
2,93212E+14;-32.612.762;4.031.204;8.575.562;3;;1654638166416;;
2,93212E+14;-32.552.948;39.450.226;8.842.514;3;;1654638166421;;
2,93212E+14;-32.624.817;39.533.997;9.121.445;3;;1654638166426;;
2,93212E+14;-3.335.495;39.138.947;9.277.069;3;;1654638166431;;
2,93212E+14;-35.258.331;38.145.294;9.296.219;3;;1654638166436;;
2,93212E+14;-37.652.588;36.601.105;9.244.751;3;;1654638166441;;
2,93212E+14;-3.979.538;35.535.736;9.230.377;3;;1654638166446;;
2,93212E+14;-4.058.548;3.468.567;9.269.882;3;;1654638166451;;
2,93212E+14;-40.214.386;33.967.438;9.354.874;3;;1654638166456;;
2,93212E+14;-3.979.538;33.404.846;9.499.725;3;;1654638166461;;
2,93212E+14;-3.908.905;33.285.065;9.591.904;3;;1654638166466;;
2,93212E+14;-38.071.594;33.596.344;9.662.537;3;;1654638166471;;
2,93212E+14;-3.785.614;34.506.226;9.740.341;3;;1654638166476;;
2,93212E+14;-37.999.725;34.745.636;9.784.637;3;;1654638166481;;
2,93212E+14;-38.311.005;34.613.953;9.784.637;3;;1654638166485;;
2,93212E+14;-38.203.278;34.985.046;9.819.351;3;;1654638166490;;
2,93212E+14;-38.083.496;35.571.594;9.838.501;3;;1654638166495;;
2,93212E+14;-39.903.107;35.942.688;9.821.747;3;;1654638166500;;
2,93212E+14;-44.871.063;35.380.096;9.977.371;3;;1654638166505;;
2,93212E+14;-49.180.603;3.464.981;1.026.947;3;;1654638166510;;
2,93212E+14;-51.371.307;35.188.446;10.692.047;3;;1654638166515;;
2,93212E+14;-5.086.853;35.607.452;112.834.015;3;;1654638166520;;
2,93212E+14;-4.865.387;35.547.638;11.779.007;3;;1654638166525;;
2,93212E+14;-45.110.474;3.496.109;12.224.335;3;;1654638166530;;
2,93212E+14;-4.042.984;34.470.215;12.622.971;3;;1654638166535;;
2,93212E+14;-35.054.932;3.453.003;12.849.213;3;;1654638166540;;
2,93212E+14;-30.027.008;34.781.494;13.003.647;3;;1654638166545;;
2,93212E+14;-25.561.829;35.679.321;13.140.106;3;;1654638166550;;
2,93212E+14;-22.138.214;3.587.082;13.304.108;3;;1654638166555;;
2,93212E+14;-19.672.089;36.672.974;13.478.897;3;;1654638166560;;
2,93212E+14;-19.109.497;37.367.249;13.693.176;3;;1654638166564;;
2,93212E+14;-20.522.003;37.762.299;13.743.454;3;;1654638166569;;
2,93212E+14;-2.402.954;38.935.394;13.748.245;3;;1654638166574;;
2,93212E+14;-28.303.223;39.881.134;1.376.619;3;;1654638166579;;
2,93212E+14;-31.822.662;40.898.743;13.963.715;3;;1654638166584;;
2,93212E+14;-3.398.941;4.180.847;141.732.025;3;;1654638166589;;
2,93212E+14;-33.702.087;42.802.124;1.446.051;3;;1654638166594;;
2,93212E+14;-33.055.725;43.041.534;14.652.054;3;;1654638166599;;
2,93212E+14;-32.768.402;4.239.502;14.729.858;3;;1654638166604;;
2,93212E+14;-3.069.748;4.215.561;14.771.759;3;;1654638166609;;
2,93213E+14;-27.692.719;4.262.253;14.867.523;3;;1654638166614;;
2,93213E+14;-2.441.269;42.562.714;14.805.283;3;;1654638166619;;
2,93213E+14;-21.766.968;4.167.679;1.469.873;3;;1654638166624;;
2,93213E+14;-19.324.951;4.073.105;14.587.402;3;;1654638166629;;
2,93213E+14;-17.720.795;40.168.457;1.446.051;3;;1654638166634;;
2,93213E+14;-16.296.234;39.545.898;14.373.123;3;;1654638166639;;
2,93213E+14;-14.763.947;38.899.536;14.308.487;3;;1654638166644;;
2,93213E+14;-12.920.532;37.893.982;14.132.507;3;;1654638166648;;
2,93213E+14;-11.244.507;36.864.471;14.018.784;3;;1654638166653;;
2,93213E+14;-10.394.592;359.906;13.871.536;3;;1654638166658;;
2,93213E+14;-0.9281311;35.212.402;13.742.249;3;;1654638166663;;
2,93213E+14;-0.7736969;33.967.438;13.578.247;3;;1654638166668;;
2,93213E+14;-0.6132965;32.842.255;13.423.828;3;;1654638166673;;
2,93213E+14;-0.47561646;3.180.069;13.301.712;3;;1654638166678;;
2,93213E+14;-0.3104248;30.747.223;13.120.956;3;;1654638166683;;
2,93213E+14;-0.1619873;29.849.396;13.004.837;3;;1654638166688;;
2,93213E+14;0.0259552;29.023.438;12.892.303;3;;1654638166693;;
2,93213E+14;0.26896667;2.835.312;12.797.745;3;;1654638166698;;
2,93213E+14;0.53712463;27.479.248;12.724.716;3;;1654638166703;;
2,93213E+14;0.8591461;27.108.154;1.260.022;3;;1654638166708;;
2,93213E+14;1.218.277;26.748.962;12.470.932;3;;1654638166713;;
2,93213E+14;15.103.607;26.353.912;12.390.732;3;;1654638166718;;
2,93213E+14;16.851.501;25.324.402;12.353.622;3;;1654638166723;;
2,93213E+14;18.563.232;23.899.841;12.397.903;3;;1654638166727;;
2,93213E+14;20.418.854;23.277.283;12.485.291;3;;1654638166732;;
2,93213E+14;22.836.914;23.432.922;12.733.093;3;;1654638166737;;
2,93213E+14;25.135.345;22.738.647;13.080.261;3;;1654638166742;;
2,93213E+14;2.669.159;21.948.547;13.447.769;3;;1654638166747;;
2,93213E+14;27.026.825;20.368.347;13.761.414;3;;1654638166752;;
2,93213E+14;26.835.327;1.907.547;13.957.733;3;;1654638166757;;
2,93213E+14;26.081.085;18.141.785;14.154.053;3;;1654638166762;;
2,93213E+14;24.860.077;17.100.372;1.416.243;3;;1654638166767;;
2,93213E+14;22.884.827;15.771.484;14.119.339;3;;1654638166772;;
2,93213E+14;2.136.444;1.461.029;13.978.088;3;;1654638166777;;
2,93213E+14;20.813.904;13.520.966;13.814.072;3;;1654638166782;;
2,93213E+14;20.622.253;12.706.909;13.593.811;3;;1654638166787;;
2,93213E+14;20.981.445;12.264.099;13.276.581;3;;1654638166792;;
2,93213E+14;21.891.174;11.964.722;12.952.164;3;;1654638166797;;
2,93213E+14;22.872.925;10.899.353;12.583.466;3;;1654638166802;;
2,93213E+14;251.474;10.468.445;12.291.367;3;;1654638166807;;
2,93213E+14;27.361.908;1.045.639;12.037.582;3;;1654638166811;;
2,93213E+14;30.510.406;10.480.347;11.801.758;3;;1654638166816;;
2,93213E+14;33.335.571;10.803.528;11.405.518;3;;1654638166821;;
2,93213E+14;35.298.767;11.042.938;10.992.508;3;;1654638166826;;
2,93213E+14;35.621.948;11.066.895;105.555.725;3;;1654638166831;;
2,93213E+14;35.490.265;11.210.632;10.121.017;3;;1654638166836;;
2,93213E+14;3.531.067;12.228.088;9.815.765;3;;1654638166841;;
2,93213E+14;35.011.444;13.485.107;9.533.249;3;;1654638166846;;
2,93213E+14;34.365.082;14.718.018;9.391.983;3;;1654638166851;;
2,93213E+14;3.211.441;15.568.085;9.322.556;3;;1654638166856;;
2,93213E+14;30.043.488;16.681.366;936.087;3;;1654638166861;;
2,93213E+14;2.787.674;18.309.326;9.449.448;3;;1654638166866;;
2,93213E+14;26.667.633;19.961.395;9.583.527;3;;1654638166871;;
2,93213E+14;26.763.458;2.191.269;9.710.419;3;;1654638166876;;
2,93213E+14;26.595.764;24.007.568;9.745.132;3;;1654638166881;;
2,93213E+14;2.598.526;25.061.035;9.820.557;3;;1654638166886;;
2,93213E+14;25.290.985;26.102.448;9.796.616;3;;1654638166891;;
2,93213E+14;2.590.149;27.754.517;9.770.279;3;;1654638166895;;
2,93213E+14;25.997.314;29.059.296;9.620.636;3;;1654638166900;;
2,93213E+14;2.590.149;30.352.173;946.022;3;;1654638166905;;
2,93213E+14;25.219.116;31.214.142;9.378.815;3;;1654638166910;;
2,93213E+14;24.524.841;31.968.384;9.333.328;3;;1654638166915;;
2,93213E+14;2.459.671;32.064.056;933.931;3;;1654638166920;;
2,93213E+14;25.135.345;32.494.965;9.431.488;3;;1654638166925;;
2,93213E+14;25.578.308;3.207.611;9.559.586;3;;1654638166930;;
2,93213E+14;26.092.987;32.028.198;965.535;3;;1654638166935;;
2,93213E+14;26.105.042;32.327.423;9.754.715;3;;1654638166940;;
2,93213E+14;25.961.304;32.782.288;9.803.787;3;;1654638166945;;
2,93213E+14;25.877.533;33.452.759;9.709.213;3;;1654638166950;;
2,93213E+14;25.039.673;3.432.663;9.504.517;3;;1654638166955;;
2,93213E+14;24.452.972;35.451.813;9.292.633;3;;1654638166960;;
2,93213E+14;24.369.202;36.325.684;9.090.317;3;;1654638166965;;
2,93213E+14;24.153.748;36.457.367;8.888.016;3;;1654638166970;;
2,93213E+14;24.141.846;37.343.292;8.731.186;3;;1654638166975;;
2,93213E+14;245.607;38.779.755;8.617.462;3;;1654638166979;;
2,93213E+14;24.488.983;38.947.449;8.504.944;3;;1654638166984;;
2,93213E+14;24.488.983;38.612.213;8.257.141;3;;1654638166989;;
2,93213E+14;24.728.394;38.684.082;7.805.832;3;;1654638166994;;
2,93213E+14;25.159.302;39.617.767;72.671.356;3;;1654638166999;;
2,93213E+14;24.656.525;39.761.505;66.733.704;3;;1654638167004;;
2,93213E+14;24.381.256;40.048.676;61.562.195;3;;1654638167009;;
2,93213E+14;24.620.667;40.431.824;57.875.214;3;;1654638167014;;
2,93213E+14;25.446.625;40.958.557;5.560.074;3;;1654638167019;;
2,93213E+14;26.392.365;4.156.906;54.403.534;3;;1654638167024;;
2,93213E+14;27.002.869;41.820.374;54.834.595;3;;1654638167029;;
2,93213E+14;27.984.467;4.222.748;54.092.407;3;;1654638167034;;
2,93213E+14;28.379.517;42.610.474;5.181.778;3;;1654638167039;;
2,93213E+14;27.828.827;4.211.975;4.848.984;3;;1654638167044;;
2,93213E+14;27.613.373;41.389.465;4.489.853;3;;1654638167049;;
2,93213E+14;27.194.366;41.150.055;41.917.877;3;;1654638167054;;
2,93213E+14;2.760.147;409.227;39.511.719;3;;1654638167058;;
2,93213E+14;27.517.548;4.053.955;38.745.575;3;;1654638167063;;
2,93213E+14;27.062.683;39.857.178;3.809.906;3;;1654638167068;;
