t,x,y,z,a
1179274169944403,-2.1426392,3.1708832,8.868546,3
1179274174888250,-1.972641,3.281021,7.5289917,3
1179274179832098,-1.9343414,3.123001,7.4284363,3
1179274184775945,-1.8828583,3.0188599,7.155487,3
1179274189719793,-1.9355316,2.925476,6.467163,3
1179274194663641,-1.9702454,2.7255707,6.556946,3
1179274199607488,-2.020523,2.754303,5.8398743,3
1179274204551336,-2.1079102,2.5783234,5.9990997,3
1179274209464666,-2.3652954,2.5424042,5.4496155,3
1179274214408514,-2.798645,2.5124817,5.3849792,3
1179274219352362,-3.1960754,2.3903809,6.0038757,3
1179274224296209,-3.542038,2.3700256,6.2433014,3
1179274229240057,-3.703659,2.1054688,7.20697,3
1179274234183904,-3.7910461,1.9905396,7.257248,3
1179274239127752,-3.8688507,1.7200012,8.441177,3
1179274244071600,-3.8628693,1.7331696,8.817062,3
1179274248984930,-3.8808289,1.675705,9.522156,3
1179274253928778,-3.9813843,1.7343597,10.184158,3
1179274258872625,-4.06398,1.8229523,10.658203,3
1179274263816473,-4.2291718,1.8995667,11.00058,3
1179274268760320,-4.3548737,1.9330902,11.448288,3
1179274273704168,-4.608658,2.0587769,10.935944,3
1179274278648016,-5.036026,1.9067535,12.162964,3
1179274283591863,-5.293396,1.7032471,12.394012,3
1179274288505194,-5.391571,1.4721985,12.40358,3
1179274293449041,-5.3269196,1.3357391,12.452667,3
1179274298392889,-5.158127,1.2196198,12.435898,3
1179274303336737,-4.7211914,1.1334229,11.963043,3
1179274308280584,-4.1525574,1.1430054,11.248383,3
1179274313224432,-3.7778778,1.2483368,10.697708,3
1179274318168279,-3.6018982,1.3572845,10.305069,3
1179274323112127,-3.5647888,1.4482574,9.884888,3
1179274328025457,-3.6390076,1.4853668,9.35936,3
1179274332969305,-3.7347717,1.4470673,8.814667,3
1179274337913153,-3.9107513,1.6050873,7.5289917,3
1179274342857000,-3.8868103,1.6888733,6.47554,3
1179274347800848,-3.8951874,1.1226501,8.521378,3
1179274352744695,-4.016098,1.1370087,7.8893127,3
1179274357688543,-4.067566,1.1489868,7.2799835,3
1179274362632391,-4.1334076,1.2579193,6.3534393,3
1179274367576238,-4.055603,1.387207,5.265274,3
1179274372489569,-3.715622,0.8568878,6.7927704,3
1179274377433416,-3.3026276,0.81977844,5.3119507,3
1179274382377264,-3.197281,0.78266907,4.574539,3
1179274387290594,-3.236786,0.73957825,4.85347,3
1179274392234442,-3.4019775,0.76231384,5.0857086,3
1179274397178289,-3.6354218,0.8544922,5.3347015,3
1179274402122137,-3.8724365,0.8832245,5.5884857,3
1179274407065985,-4.055603,0.94667053,5.811142,3
1179274412009832,-4.1525574,1.090332,5.9344482,3
1179274416953680,-4.39917,1.0532227,7.035782,3
1179274421897528,-4.708023,1.0544128,7.2404785,3
1179274426841375,-5.1174316,0.987381,7.8210754,3
1179274431754705,-5.6154175,0.9766083,8.337036,3
1179274436698553,-6.036804,0.99694824,9.274353,3
1179274441642401,-6.795761,0.99575806,10.056061,3
1179274446586248,-18.535736,-0.86813354,19.533508,3
1179274451530096,-19.449112,-1.102768,20.812012,3
1179274456473944,-1.5524597,1.0795593,3.1452026,3
1179274461417791,-2.783081,0.5863495,5.266464,3
1179274466361639,-3.4965515,0.2822876,6.5138397,3
1179274471305487,-3.372055,0.1781311,6.1954193,3
1179274476249334,-6.969345,-0.23127747,9.258804,3
1179274481193182,-8.926605,0.15419006,6.657501,3
1179274486137029,-2.4754333,0.7647095,5.6710815,3
1179274491050360,-3.166153,0.3325653,8.247253,3
1179274495994207,-7.551132,0.14581299,7.3182983,3
1179274500938055,-5.9230804,-0.24084473,12.810593,3
1179274505881903,-3.6150665,0.442688,6.740097,3
1179274510825750,-4.992935,0.028503418,9.71489,3
1179274515769598,-4.514084,0.11468506,9.018173,3
1179274520713445,-4.696045,-0.05050659,9.372528,3
1179274525657293,-4.253128,-0.022979736,8.650665,3
1179274530601141,-4.502121,0.08236694,8.363373,3
1179274535514471,-4.30101,0.3612976,8.078461,3
1179274540458319,-4.340515,0.51213074,8.149078,3
1179274545402166,-4.000534,0.5252991,7.9479675,3
1179274550315496,-4.2196045,0.521698,8.381317,3
1179274555259344,-4.0532074,0.4881897,8.467514,3
1179274560203192,-4.000534,0.42832947,8.477097,3
1179274565147039,-3.9227142,0.35650635,8.449554,3
1179274570090887,-4.0412292,0.30262756,8.699753,3
1179274575034735,-3.9358826,0.32658386,8.893677,3
1179274579978582,-3.8784332,0.5276947,9.28035,3
1179274584922430,-3.7252045,0.75035095,9.979446,3
1179274589866278,-3.537262,0.91793823,10.220062,3
1179274594810125,-3.5037384,0.9837799,10.422379,3
1179274599753973,-3.418747,0.92871094,10.659409,3
1179274604697820,-3.6629486,0.56599426,11.186127,3
1179274609611151,-3.4163513,0.43670654,10.870102,3
1179274614554998,-3.205658,0.3325653,10.660599,3
1179274619498846,-3.2966309,0.3050232,10.126694,3
1179274624442694,-3.4833832,0.2535553,9.718491,3
1179274629386541,-3.3361359,0.30622864,9.119934,3
1179274634330389,-3.3337402,0.29904175,8.7260895,3
1179274639243719,-3.4223328,0.2858734,8.394485,3
1179274644187567,-3.4259186,0.3217926,8.152679,3
1179274649131414,-3.300232,0.40797424,8.259216,3
1179274654075262,-3.2272034,0.5360718,8.238861,3
1179274659019110,-3.079956,0.33135986,9.344986,3
1179274663962957,-2.9351196,-0.27915955,10.275131,3
1179274668906805,-3.5959167,-0.4515381,10.165009,3
1179274673850653,-3.7682953,-0.32943726,10.181763,3
1179274678794500,-3.4606476,-0.6885681,10.223663,3
1179274683738348,-3.0883484,-1.1769867,10.155426,3
1179274688682195,-2.750763,-1.636673,10.168594,3
1179274693626043,-2.7028809,-1.775528,10.179367,3
1179274698569891,-2.8884277,-1.4846344,10.165009,3
1179274703483221,-3.1134796,-1.2667694,10.203308,3
1179274708396551,-3.3421326,-1.0440979,10.455902,3
1179274713340399,-2.972229,-0.87171936,10.257187,3
