t;x;y;z;a
292997908162269;0.7813263;4.401108;13.111374;3
292997913106117;0.7035217;4.4549866;13.152084;3
292997918080482;0.6544342;4.4118958;13.061096;3
292997923024330;0.629303;4.389145;13.009628;3
292997927968177;0.53712463;4.4082947;13.052719;3
292997932912025;0.3874817;4.3867493;13.065887;3
292997937825355;0.26538086;4.3879395;13.071869;3
292997942769203;0.23066711;4.3604126;13.130539;3
292997947713051;0.34320068;4.380768;13.170044;3
292997952656898;0.42219543;4.3843536;13.246658;3
292997957600746;0.43896484;4.3771667;13.263412;3
292997962544593;0.39585876;4.3687897;13.269394;3
292997967488441;0.28094482;4.354431;13.232285;3
292997972432289;0.11933899;4.3687897;13.079056;3
292997977376136;-0.0650177;4.421463;12.948578;3
292997982319984;-0.24697876;4.441818;12.733093;3
292997987233314;-0.3571167;4.477722;12.5403595;3
292997992177162;-0.33078003;4.495682;12.357208;3
292997997121010;-0.21705627;4.517227;12.249466;3
292998002064857;-0.1452179;4.5507507;12.08905;3
292998007008705;-0.17634583;4.5890656;11.799362;3
292998011952552;-0.2709198;4.6321564;11.527618;3
292998016896400;-0.2134552;4.7207336;11.310944;3
292998021840248;-0.08656311;4.7841797;11.17926;3
292998026784095;0.12890625;4.8428497;11.138565;3
292998031727943;0.2605896;4.8631897;11.0811;3
292998036641273;0.21031189;4.8655853;10.927872;3
292998041585121;-0.013549805;4.9410095;10.850052;3
292998046498451;-0.30444336;4.979309;10.822525;3
292998051442299;-0.5067444;4.9481964;10.869217;3
292998056386146;-0.62286377;4.8967133;10.962585;3
292998061329994;-0.7413788;4.8500214;11.036804;3
292998066273842;-0.7545471;4.804535;10.924271;3
292998071217689;-0.7306061;4.772217;10.785416;3
292998076161537;-0.68151855;4.7626343;10.739929;3
292998081074867;-0.64082336;4.705185;10.829712;3
292998086018715;-0.5342865;4.634552;10.87999;3
292998090962562;-0.5139313;4.543564;10.920685;3
292998095906410;-0.7054596;4.5064545;10.82132;3
292998100850258;-1.058609;4.536392;10.575928;3
292998105794105;-1.3016205;4.595047;10.291016;3
292998110737953;-1.4321136;4.504059;9.959412;3
292998115681801;-1.4680176;4.3951263;9.698441;3
292998120595131;-1.3950043;4.402313;9.438675;3
292998125538978;-1.2286072;4.4501953;9.249527;3
292998130482826;-0.9939728;4.4944916;9.056793;3
292998135426674;-0.8993988;4.528;8.911957;3
292998140370521;-0.9460907;4.496887;8.7659;3
292998145314369;-1.0310822;4.457382;8.5911255;3
292998150258217;-1.0777588;4.5064545;8.363678;3
292998155171547;-1.1232605;4.610611;8.011734;3
292998160115394;-1.1986694;4.6836243;7.6729584;3
292998165059242;-1.1902924;4.730316;7.4203644;3
292998170003090;-1.0921326;4.7183533;7.1522064;3
292998174946937;-0.89819336;4.7315216;6.819412;3
292998179890785;-0.7341919;4.7267303;6.430359;3
292998184804115;-0.55462646;4.7231293;6.0018005;3
292998189747963;-0.40379333;4.7195435;5.6115417;3
292998194691810;-0.26733398;4.68602;5.2739563;3
292998199635658;-0.19670105;4.6130066;5.003418;3
292998204579506;-0.17755127;4.5818787;4.8190613;3
292998209523353;-0.09854126;4.58786;4.520981;3
292998214467201;-0.08895874;4.5615234;4.273178;3
292998219411049;-0.13444519;4.504059;3.936798;3
292998224324379;-0.087768555;4.4873047;3.5202026;3
292998229268226;-0.035095215;4.4274445;3.109604;3
292998234212074;0.115737915;4.449005;2.7097778;3
292998239155922;0.33480835;4.452591;2.3733826;3
292998244099769;0.5598755;4.539978;2.1842499;3
292998249043617;0.70591736;4.536392;1.9687653;3
292998253987465;0.7597809;4.58667;1.6790619;3
292998258931312;0.7202759;4.635742;1.4121094;3
292998263844642;0.7370453;4.7315216;1.1786804;3
292998268788490;0.8088684;4.8464355;0.9512329;3
292998273732338;0.83280945;4.9481964;0.82792664;3
292998278676185;0.68795776;4.993683;0.77046204;3
292998283620033;0.45092773;5.066696;0.70462036;3
292998288563881;0.29769897;5.144516;0.59329224;3
292998293507728;0.22587585;5.219925;0.49154663;3
292998298421058;0.2318573;5.23909;0.42330933;3
292998303364906;0.30249023;5.2725983;0.2617035;3
292998308308754;0.4257965;5.3097076;0.09170532;3
292998313252601;0.5814209;5.3408356;-0.13453674;3
292998318196449;0.6819763;5.3755493;-0.39311218;3
292998323140297;0.7992859;5.3803406;-0.56788635;3
292998328084144;0.8483734;5.377945;-0.7474518;3
292998332997474;0.9932251;5.3970947;-0.93899536;3
292998337941322;1.0806122;5.5060425;-0.96533203;3
292998342885170;1.0195618;5.5611115;-0.92822266;3
292998347829017;0.8567505;5.5814514;-0.9437866;3
292998352772865;0.6903534;5.6293335;-0.9952545;3
292998357716713;0.55747986;5.6257477;-0.97969055;3
292998362660560;0.47846985;5.65448;-0.97969055;3
292998367604408;0.39227295;5.6281433;-0.9557495;3
292998372548256;0.30249023;5.631729;-0.96891785;3
292998377492103;0.17799377;5.6604614;-1.0479279;3
292998382405433;0.0546875;5.6832123;-1.143692;3
292998387349281;0.0546875;5.7035675;-1.3232574;3
292998392293129;0.17680359;5.7622223;-1.4788818;3
292998397236976;0.3000946;5.8077087;-1.585434;3
292998402180824;0.26419067;5.8412323;-1.6261292;3
292998407124672;0.10018921;5.8735504;-1.6500702;3
292998412038002;-0.102127075;5.9130554;-1.585434;3
292998416981849;-0.20507812;6.0004425;-1.4848633;3
292998421925697;-0.29486084;6.0555115;-1.2442474;3
292998426869545;-0.3678894;6.0255737;-0.8108978;3
292998431782875;-0.3678894;6.011215;-0.3416443;3
292998436726722;-0.4013977;6.006424;-0.045959473;3
292998441670570;-0.42175293;6.133316;0.1060791;3
292998446614418;-0.41456604;6.188385;0.21740723;3
292998451558265;-0.32598877;6.200363;0.30958557;3
292998456502113;-0.1619873;6.2099304;0.30838013;3
292998461415443;0.00920105;6.2542267;0.33711243;3
292998466359291;0.096588135;6.2817535;0.39578247;3
292998471303138;0.10018921;6.24704;0.55618286;3
292998476246986;0.101379395;6.184799;0.77285767;3
292998481190834;0.10018921;6.1201477;1.0422058;3
292998486134681;0.1803894;6.105789;1.3235321;3
292998491078529;0.30249023;6.0962067;1.5150604;3
292998496022377;0.2893219;6.1225433;1.6730804;3
292998500966224;0.17918396;6.1381073;1.8765869;3
292998505879554;0.10975647;6.1596527;2.1076355;3
292998510823402;0.17080688;6.1500854;2.359024;3
292998515767250;0.23664856;6.112976;2.6307678;3
292998520711097;0.31446838;6.0555115;2.900116;3
292998525654945;0.41262817;6.0950165;2.987503;3
292998530598793;0.5227661;6.1225433;3.0341797;3
292998535542640;0.5850067;6.090225;3.071289;3
292998540455970;0.55148315;6.029175;3.2628326;3
292998545399818;0.41860962;6.0471344;3.4795074;3
292998550343666;0.25221252;6.132126;3.6878052;3
292998555287513;0.027160645;6.1979675;3.7835693;3
292998560231361;-0.19670105;6.1788025;3.833847;3
292998565175209;-0.38822937;6.176422;3.8685608;3
292998570119056;-0.5929413;6.180008;4.1247406;3
292998575062904;-0.7030792;6.1596527;4.430008;3
292998579976234;-0.603714;6.117752;4.8154755;3
292998584920082;-0.39302063;6.136917;5.1171417;3
292998589863929;-0.27331543;6.171631;5.312271;3
292998594807777;-0.25775146;6.195572;5.584015;3
292998599751625;-0.35232544;6.2147217;5.791107;3
292998604664955;-0.5821686;6.180008;6.181366;3
292998609608802;-0.77490234;6.14888;6.6649933;3
292998614552650;-0.9293213;6.165634;7.0863647;3
292998619496498;-0.97361755;6.1357117;7.525711;3
292998624440345;-1.0610046;6.1069794;7.8884277;3
292998629384193;-1.1005096;6.1440887;8.099121;3
292998634328041;-1.137619;6.191971;8.214035;3
292998639271888;-1.1891022;6.2374725;8.265518;3
292998644185218;-1.216629;6.2614136;8.352905;3
292998649129066;-1.2645111;6.2769775;8.4965515;3
292998654072914;-1.3578796;6.268585;8.580353;3
292998659016761;-1.4883728;6.188385;8.704849;3
292998663960609;-1.6679382;6.093811;8.759918;3
292998668904457;-1.8858032;6.005234;8.865265;3
292998673848304;-1.9660187;5.9214325;8.798233;3
292998678792152;-1.9420776;5.8699646;8.585144;3
292998683705482;-1.7780762;5.887909;8.052429;3
292998688649330;-1.5326691;5.836441;7.446701;3
292998693593177;-1.326767;5.7634125;6.945114;3
292998698537025;-1.1543732;5.670044;6.706894;3
292998703480873;-1.0466461;5.646103;6.714081;3
292998708394203;-1.0669861;5.6101837;6.9187775;3
292998713338051;-1.1855011;5.611389;7.390442;3
292998718281898;-1.2836609;5.614975;7.9506836;3
292998723225746;-1.4009857;5.5551147;8.561203;3
292998728169593;-1.5218964;5.5144196;9.163345;3
292998733113441;-1.6918793;5.456955;9.670914;3
292998738057289;-1.8139801;5.448578;9.998917;3
292998743001136;-1.8151855;5.3767548;10.332916;3
292998747944984;-1.6882935;5.3204803;10.651337;3
292998752888832;-1.4859772;5.2211304;10.955399;3
292998757832679;-1.2884521;5.1265564;11.154114;3
292998762746010;-1.2525482;5.0391693;11.166092;3
292998767689857;-1.2944336;5.0403595;11.004486;3
292998772633705;-1.4129486;5.0679016;10.84407;3
292998777577552;-1.513504;5.0954285;10.847656;3
292998782521400;-1.5266724;5.105011;10.943436;3
292998787434730;-1.4129486;5.058319;11.114609;3
292998792378578;-1.3890076;5.058319;11.397125;3
292998797322426;-1.489563;5.144516;11.739502;3
292998802266273;-1.6535645;5.25943;12.053146;3
292998807210121;-1.5769501;5.2917633;12.449387;3
292998812153968;-1.3387299;5.298935;12.809708;3
292998817097816;-1.0262909;5.3181;13.239471;3
292998822011146;-0.7413788;5.3085175;13.513611;3
292998826954994;-0.5929413;5.3647766;13.5447235;3
292998831898842;-0.58335876;5.374359;13.470505;3
292998836842689;-0.58335876;5.421051;13.413055;3
292998841786537;-0.5857544;5.4150543;13.407059;3
292998846730385;-0.55822754;5.405487;13.468109;3
292998851674232;-0.4768219;5.342041;13.504028;3
292998856587562;-0.4013977;5.2570343;13.501633;3
292998861531410;-0.40499878;5.2259216;13.446564;3
292998866475258;-0.4468994;5.216339;13.308899;3
292998871419105;-0.40979004;5.130142;13.269394;3
292998876362953;-0.2709198;5.0954285;13.292145;3
292998881306801;-0.056640625;5.041565;13.244263;3
292998886220131;0.1875763;4.9972687;13.232285;3
292998891163978;0.34199524;4.927841;13.245453;3
292998896107826;0.4832611;4.9362183;13.324463;3
292998901051674;0.66641235;4.9685364;13.426224;3
292998905995521;0.8064728;4.927841;13.505234;3
292998910939369;0.9932251;4.8871307;13.525574;3
292998915883217;1.1560211;4.852417;13.504028;3
292998920827064;1.2685547;4.82489;13.359177;3
292998925770912;1.2529907;4.7985535;13.064697;3
292998930684242;1.2494049;4.777008;12.848022;3
292998935628090;1.2362366;4.816513;12.6193695;3
292998940571937;1.3307953;4.8416443;12.399109;3
292998945515785;1.3595276;4.8224945;12.356003;3
292998950459633;1.3739014;4.852417;12.4015045;3
292998955403480;1.3020782;4.840454;12.378754;3
292998960347328;1.0722351;4.8464355;12.348831;3
292998965260658;0.8304138;4.867981;12.189606;3
292998970204506;0.66760254;4.9015045;12.08905;3
292998975148353;0.55148315;4.890732;12.012436;3
292998980092201;0.52156067;4.860794;11.980118;3
292998985036049;0.5059967;4.8655853;12.01004;3
292998989979896;0.47966003;4.8584137;11.969345;3
292998994923744;0.40065002;4.872772;11.986099;3
292998999837074;0.35276794;4.8931274;11.892731;3
292999004780922;0.27375793;4.914673;11.83049;3
292999009724769;0.24143982;4.8859406;11.794571;3
292999014668617;0.21270752;4.8572083;11.7730255;3
292999019612465;0.1696167;4.8308716;11.765839;3
292999024525795;0.13490295;4.8344574;11.737106;3
292999029469642;0.051101685;4.773407;11.759857;3
292999034413490;-0.04347229;4.709961;11.769424;3
292999039357338;-0.013549805;4.6249695;11.841263;3
